year	low	high	width	share	cumul	# sptinc992i	country
2005	0.9999	1	0.0001	0.0129	1		KR
2004	0	0.9	0.9	0.6144	0.6144		KR
2004	0.9	0.95	0.05	0.1313	0.7457		KR
2004	0.95	0.99	0.04	0.159	0.9047		KR
2004	0.99	0.995	0.005	0.0301	0.9348		KR
2004	0.995	0.999	0.004	0.0346	0.9694		KR
2004	0.999	0.9995	0.0005	0.0075	0.9769		KR
2004	0.9995	0.9999	0.0004	0.0109	0.9878		KR
2004	0.9999	1	0.0001	0.0122	1		KR
2003	0	0.9	0.9	0.6161	0.6161		KR
2003	0.9	0.95	0.05	0.1375	0.7536		KR
2003	0.95	0.99	0.04	0.155	0.9086		KR
2003	0.99	0.995	0.005	0.0288	0.9374		KR
2003	0.995	0.999	0.004	0.0345	0.9719		KR
2003	0.999	0.9995	0.0005	0.0071	0.979		KR
2003	0.9995	0.9999	0.0004	0.0101	0.9891		KR
2003	0.9999	1	0.0001	0.0109	1		KR
2002	0	0.9	0.9	0.6225	0.6225		KR
2002	0.9	0.95	0.05	0.1361	0.7586		KR
2002	0.95	0.99	0.04	0.1506	0.9092		KR
2002	0.99	0.995	0.005	0.0291	0.9383		KR
2002	0.995	0.999	0.004	0.0343	0.9726		KR
2002	0.999	0.9995	0.0005	0.0071	0.9797		KR
2002	0.9995	0.9999	0.0004	0.0098	0.9895		KR
2002	0.9999	1	0.0001	0.0105	1		KR
2001	0	0.9	0.9	0.632	0.632		KR
2001	0.9	0.95	0.05	0.1373	0.7693		KR
2001	0.95	0.99	0.04	0.1443	0.9136		KR
2001	0.99	0.995	0.005	0.0286	0.9422		KR
2001	0.995	0.999	0.004	0.0322	0.9744		KR
2001	0.999	0.9995	0.0005	0.007	0.9814		KR
2001	0.9995	0.9999	0.0004	0.0091	0.9905		KR
2001	0.9999	1	0.0001	0.0095	1		KR
2000	0	0.9	0.9	0.6404	0.6404		KR
2000	0.9	0.95	0.05	0.1386	0.779		KR
2000	0.95	0.99	0.04	0.1381	0.9171		KR
2000	0.99	0.995	0.005	0.0284	0.9455		KR
2000	0.995	0.999	0.004	0.0311	0.9766		KR
2000	0.999	0.9995	0.0005	0.0068	0.9834		KR
2000	0.9995	0.9999	0.0004	0.0083	0.9917		KR
2000	0.9999	1	0.0001	0.0083	1		KR
1999	0	0.9	0.9	0.6485	0.6485		KR
1999	0.9	0.95	0.05	0.1407	0.7892		KR
1999	0.95	0.99	0.04	0.1325	0.9217		KR
1999	0.99	0.995	0.005	0.0269	0.9486		KR
1999	0.995	0.999	0.004	0.03	0.9786		KR
1999	0.999	0.9995	0.0005	0.0064	0.985		KR
1999	0.9995	0.9999	0.0004	0.0077	0.9927		KR
1999	0.9999	1	0.0001	0.0073	1		KR
1998	0	0.9	0.9	0.6618	0.6618		KR
1998	0.9	0.95	0.05	0.1371	0.7989		KR
